Site_name,County,Institution,"HT (kg 1,4-DCBeq/kWh)",CC (kg CO2eq/kWh),MD (kg Fe eq/kWh),"FE (kg 1,4-DCBeq/kWh)","ME (kg 1,4-DCBeq/kWh)",TA (kg SO2eq/kWh),PMF (kg PM10eq/kWh),"TE (kg 1,4-DCBeq/kWh)"
Mwamambi_Primary_School,Kwale,School,1.589398982,0.835734255,0.665583226,0.239454614,0.218323641,0.007412732,0.003124038,0.001240301
Mwamtsefu_Primary_School,Kwale,School,0.669540419,0.352056261,0.280379487,0.100871175,0.091969671,0.003122642,0.001316013,0.000522481
Mwangani_Primary_School,Kilifi,School,0.536034663,0.284810142,0.224313208,0.080671104,0.073557258,0.002508698,0.00105815,0.000418689
Mwangaza_Primary_School,Kwale,School,1.746886685,0.918544091,0.731533422,0.263181291,0.239956528,0.008147232,0.003433587,0.001363198
Mwanza_Primary_School,Kilifi,School,1.717938686,0.91278866,0.7189019,0.258543001,0.235743822,0.008040131,0.003391268,0.001341859
Mwanzwani_Primary_School,Kwale,School,0.8077556,0.424732262,0.338259043,0.121694305,0.110955239,0.003767258,0.001587681,0.000630339
Mwele_Primary_School,Kilifi,School,1.644167447,0.873591947,0.688031017,0.247440721,0.225620577,0.007694874,0.003245642,0.001284237
Mwembe_Kati_Dispensary,Kilifi,Clinic,0.679986745,0.405235745,0.279302873,0.100357203,0.091855541,0.003198081,0.001395693,0.000652715
Nabeiye_Primary_School,Turkana,School,1.291777246,0.77748738,0.535665524,0.191740068,0.174988609,0.006314332,0.002690376,0.001021032
Nagaa_Primary_School,Isiolo,School,1.522182932,0.876558055,0.633338797,0.227098662,0.207188984,0.007323811,0.003109239,0.001197913
Nakaalei_Primary_School,Turkana,School,1.109254897,0.667631889,0.459978381,0.164648054,0.150263501,0.005422145,0.002310238,0.000876765
Nakitoekakumon_Primary_School,Turkana,School,1.041244913,0.626698435,0.431776457,0.154553249,0.141050634,0.005089706,0.002168594,0.000823009
Namakat_Primary_School,Turkana,School,2.091822731,1.259014106,0.86742302,0.310491793,0.283365535,0.010225032,0.004356626,0.001653395
Namortung_a_Boys_Secondary_School,Turkana,School,0.42191425,0.253939296,0.174956572,0.062625246,0.057153962,0.002062358,0.000878718,0.000333485
Naroo_Primary_School,Turkana,School,0.963816439,0.580096236,0.399668937,0.143060447,0.130561905,0.004711228,0.002007334,0.000761809
Ndugu_Zangu_Integrated_Primary_School,Isiolo,School,0.894939565,0.515356248,0.372359941,0.133518498,0.121812967,0.0043059,0.00182802,0.000704291
Ngoloko_Primary_School,Kilifi,School,1.046613383,0.556094834,0.437973925,0.157511189,0.14362133,0.004898259,0.00206605,0.000817496
Nyango_Primary_School,Kwale,School,0.977050247,0.513750398,0.409153562,0.147199786,0.134209956,0.004556824,0.001920438,0.000762449
Paola_Katsuhanzala_Primary_School,Kilifi,School,0.687761201,0.365426677,0.287805868,0.10350535,0.094377905,0.003218794,0.001357664,0.000537201
Pumwani_Primary_School,Kilifi,School,0.437458613,0.232433942,0.183062312,0.065835797,0.060030178,0.002047352,0.000863558,0.000341693
Sagalato_Primary_School,Kwale,School,0.778831835,0.409523632,0.326146809,0.117336728,0.106982202,0.003632361,0.00153083,0.000607768
Sagalla_Health_Centre,Taita_Taveta,Clinic,0.527736581,0.315145856,0.216732694,0.077868425,0.071272975,0.002483952,0.00108419,0.000506624
Saghaighu_dispensary,Taita_Taveta,Clinic,0.638210968,0.381117301,0.262102699,0.094169107,0.08619299,0.003003934,0.00131115,0.000612679
Salim_Mvurya_Secondary_School,Kwale,School,0.706994629,0.371750351,0.296063966,0.106513926,0.097114471,0.003297323,0.001389631,0.000551709
Sembe_Primary_School,Kwale,School,1.317748549,0.692895626,0.551825778,0.198528484,0.181009089,0.006145793,0.002590096,0.001028316
Shakahola_Dispensary,Kilifi,Clinic,0.627650689,0.374046254,0.257805967,0.092633081,0.084785761,0.002951937,0.001288272,0.000602478
Shambani_Primary_School,Isiolo,School,0.589217897,0.339304615,0.245157494,0.08790704,0.080200254,0.002834955,0.001203547,0.000463697
Shauri_Moyo_Primary_School,Kwale,School,2.64161872,1.389010109,1.106215073,0.397979234,0.362859058,0.012320136,0.005192224,0.002061409
Silaloni_Primary_School,Kwale,School,0.595655981,0.31320651,0.249439338,0.089739942,0.081820729,0.002778055,0.00117079,0.000464825
Simanya_Primary_School,Kwale,School,0.826157507,0.434408312,0.345965101,0.124466688,0.113482969,0.003853082,0.001623851,0.000644699
Tata_Primary_School,Kwale,School,0.866961807,0.455863939,0.363052476,0.130614155,0.119087945,0.004043387,0.001704054,0.000676541
Tiwi_Boys_Secondary_school,Kwale,School,1.789746746,0.941080673,0.749481676,0.269638474,0.245843889,0.008347125,0.00351783,0.001396644
Todonyang_Primary_School,Turkana,School,1.19922572,0.721783005,0.497286878,0.178002533,0.162451259,0.005861932,0.00249762,0.000947879
Uhuru_Primary_School,Isiolo,School,1.380284799,0.794845174,0.574298854,0.205928489,0.187874794,0.006641084,0.002819395,0.001086244
Vithunguni_Primary_School,Kilifi,School,1.686075103,0.895858651,0.705568019,0.253747658,0.231371347,0.007891007,0.003328369,0.00131697
Watala_Primary_School,Kilifi,School,1.279636554,0.679906533,0.535486602,0.192580258,0.175597892,0.005988832,0.002526045,0.000999507
Werugha_Health_facility,Taita_Taveta,Clinic,0.484116648,0.289097555,0.198818708,0.07143223,0.065381925,0.002278642,0.000994576,0.000464749
Yapha_Primary_School,Kwale,School,0.724009377,0.380697008,0.303189132,0.109077323,0.099451658,0.003376677,0.001423074,0.000564987
Ziwani_Primary_School,Kilifi,School,1.817160048,0.965507732,0.760422838,0.273475425,0.249359455,0.008504498,0.003587135,0.001419359
Ziyaradundo_Primary_School,Kwale,School,0.555192843,0.291930272,0.232494828,0.083643874,0.076262615,0.002589341,0.001091257,0.000433249
,,,,,,,,,,
,,,,,,,,,,
