Site_name,County,Institution,"HT (kg 1,4-DCBeq/kWh)",CC (kg CO2eq/kWh),MD (kg Fe eq/kWh),"FE (kg 1,4-DCBeq/kWh)","ME (kg 1,4-DCBeq/kWh)",TA (kg SO2eq/kWh),PMF (kg PM10eq/kWh),"TE (kg 1,4-DCBeq/kWh)"
Salim_Mvurya_Secondary_School,Kwale,School,0.541952068,0.329572808,0.185525906,0.080246537,0.073532488,0.002676037,0.001161955,0.000529168
Sembe_Primary_School,Kwale,School,1.010130094,0.614282021,0.345796819,0.149569393,0.137055255,0.004987795,0.002165738,0.000986303
Shakahola_Dispensary,Kilifi,Clinic,0.47066689,0.333928172,0.152665303,0.067648286,0.062355248,0.002360988,0.001071713,0.000581038
Shambani_Primary_School,Isiolo,School,0.453615029,0.304650549,0.154336813,0.066325132,0.060824739,0.002324492,0.001016484,0.000445177
Shauri_Moyo_Primary_School,Kwale,School,2.024952765,1.231417699,0.693200044,0.299833612,0.274747202,0.009998761,0.004341536,0.001977187
Silaloni_Primary_School,Kwale,School,0.456604588,0.277671154,0.156308989,0.067609183,0.061952474,0.002254611,0.000978969,0.000445834
Simanya_Primary_School,Kwale,School,0.633297271,0.385121807,0.216796018,0.093771969,0.085926278,0.003127079,0.001357801,0.000618359
Tata_Primary_School,Kwale,School,0.664576116,0.404143151,0.227503673,0.09840341,0.090170216,0.003281527,0.001424864,0.0006489
Tiwi_Boys_Secondary_school,Kwale,School,1.371943875,0.834308828,0.469656167,0.203142955,0.186146436,0.00677435,0.002941473,0.001339582
Todonyang_Primary_School,Turkana,School,0.925294384,0.651778331,0.313820031,0.134404923,0.123310784,0.004830746,0.002119733,0.000910466
Uhuru_Primary_School,Isiolo,School,1.062625445,0.713665562,0.361544954,0.155371336,0.142486273,0.005445289,0.002381186,0.001042859
Vithunguni_Primary_School,Kilifi,School,1.293086665,0.795428273,0.442362097,0.191201486,0.175219487,0.006411643,0.002786243,0.001263298
Watala_Primary_School,Kilifi,School,0.981380344,0.603685501,0.335728052,0.145111217,0.132981775,0.004866078,0.002114602,0.000958772
Werugha_Health_facility,Taita_Taveta,Clinic,0.363075177,0.258164735,0.117750593,0.052167844,0.048087004,0.001822994,0.0008276,0.000448218
Yapha_Primary_School,Kwale,School,0.554994852,0.337504407,0.18999083,0.082177774,0.075302143,0.00274044,0.001189919,0.000541903
Ziwani_Primary_School,Kilifi,School,1.393618482,0.857269332,0.47675381,0.206066563,0.188842033,0.00691012,0.003002861,0.001361514
Ziyaradundo_Primary_School,Kwale,School,0.425587263,0.258808846,0.14569086,0.063016466,0.057744018,0.002101454,0.000912467,0.000415548
