Site_name,County,Cumu_dumped_energy,Cumu_total_energy_used,Cumu_res_supplied,Ut_rate,Institution
Ndugu_Zangu_Integrated_Primary_School,Isiolo,17925.57618266549,6773.068982917358,26508.275254614462,25.550772043301183,School
Ngoloko_Primary_School,Kilifi,18083.980839536078,5718.511634539301,25522.993247306593,22.405333023166346,School
Nyango_Primary_School,Kwale,17539.89894733713,6116.111763202011,25422.704409001923,24.057675630435124,School
Paola_Katsuhanzala_Primary_School,Kilifi,15111.076882937183,8702.251297233468,25522.993247306593,34.09573169146924,School
Pumwani_Primary_School,Kilifi,10266.82131769315,13681.456102917828,25522.993247306593,53.604434128671855,School
Sagalato_Primary_School,Kwale,16077.025477602558,7672.707041242424,25422.704409001923,30.18053043375509,School
Sagalla_Health_Centre,Taita_Taveta,35362.825099505215,19823.121741025145,59132.19127669016,33.52340123549488,Clinic
Saghaighu_dispensary,Taita_Taveta,38920.11007818912,16391.73723900885,59132.19127669016,27.720496881823582,Clinic
Salim_Mvurya_Secondary_School,Kwale,15410.629196993918,8452.325189867463,25422.704409001923,33.24715204915249,School
Sembe_Primary_School,Kwale,19161.32302031088,4534.816990626573,25422.704409001923,17.83766556724327,School
Shakahola_Dispensary,Kilifi,36882.393138064086,16661.67228981171,57426.73480643981,29.013790085699387,Clinic
Shambani_Primary_School,Isiolo,14664.376890093788,10287.344363563094,26508.275254614462,38.808048674431625,School
Shauri_Moyo_Primary_School,Kwale,21324.027594303054,2262.1540580420865,25422.704409001923,8.898164497562583,School
Silaloni_Primary_School,Kwale,13671.516958559343,10032.214390680387,25422.704409001923,39.46163330730495,School
Simanya_Primary_School,Kwale,16426.11868145696,7233.183090481865,25422.704409001923,28.451666565893234,School
Tata_Primary_School,Kwale,16756.84643426955,6892.747132727756,25422.704409001923,27.112564508625226,School
Tiwi_Boys_Secondary_school,Kwale,20286.958337978813,3338.8793809644885,25422.704409001923,13.133454754649254,School
Todonyang_Primary_School,Turkana,19178.06282348218,5092.492935564666,26031.138944136594,19.56308153282601,School
Uhuru_Primary_School,Isiolo,20255.273049866624,4391.475885406724,26508.275254614462,16.566433852169514,School
Vithunguni_Primary_School,Kilifi,20130.552708974257,3549.705939914955,25522.993247306593,13.907874775971077,School
Watala_Primary_School,Kilifi,19060.923721496092,4677.164613312022,25522.993247306593,18.325298165432056,School
Werugha_Health_facility,Taita_Taveta,33638.953304961185,21609.226900712412,59132.19127669016,36.543930529479205,Clinic
Yapha_Primary_School,Kwale,15377.50106990936,8253.6893807965,25422.704409001923,32.46581971772426,School
Ziwani_Primary_School,Kilifi,20393.195238092114,3293.639883633462,25522.993247306593,12.904598812997905,School
Ziyaradundo_Primary_School,Kwale,12889.972755747483,10763.374540940082,25422.704409001923,42.33764578220435,School
